dataset,feature,feature_type,ratio,perm_p,perm_z,ai_doc_count
ai7,パフォーマンス-performance,lexical,0.20011385098765083,0.08091908091908091,1.4450122568291324,102.0
ai7,ツール-tool,lexical,0.1792197368399533,0.14685314685314685,1.0790153287230684,180.0
ai7,ガイドライン-guideline,lexical,0.37640627529023646,0.000999000999000999,5.485434896791703,30.0
ai7,洗い出す,lexical,0.3648420610091671,0.000999000999000999,5.137539182303857,24.0
ai7,Squash,lexical,0.2581370875603313,0.0969030969030969,1.4098731638253084,9.0
ai7,Pull,lexical,0.23994507490471803,0.03596403596403597,2.1444345586466085,22.0
ai7,Dockerfile,lexical,0.17876548398623296,0.17682317682317683,0.887198217592219,38.0
ai7,ポジティブ-positive,lexical,0.26240691028051316,0.028971028971028972,2.2111050272337804,16.0
ai7,カバレッジ-coverage,lexical,0.5031745796121083,0.000999000999000999,8.325036217312661,34.0
ai7,テスト-test,lexical,0.27993027306658125,0.000999000999000999,3.57321385597118,180.0
ai7,OWASP,lexical,0.40973519110575424,0.000999000999000999,5.175301449323353,18.0
ai7,構築,lexical,0.383553371585358,0.000999000999000999,6.221068583559305,165.0
ai7,活用,lexical,0.5872039417905269,0.000999000999000999,11.099048628442393,183.0
ai7,最小,lexical,0.32550680509654356,0.000999000999000999,4.587234204143143,73.0
ai7,ドキュメンテーション-documentation,lexical,0.19385451764714443,0.1798201798201798,0.9767428295933573,18.0
ai7,Markdown,lexical,0.5985822748839484,0.000999000999000999,7.9700042262166155,11.0
ai7,防止,lexical,0.43995213751798534,0.000999000999000999,6.513808603670088,25.0
ai7,ZAP,lexical,0.7426463465030689,0.000999000999000999,8.774501385805213,8.0
ai7,悪意,lexical,0.18747197403711152,0.16583416583416583,0.8702223467195649,21.0
ai7,バグ-bug,lexical,0.29812843972186187,0.000999000999000999,3.9926927009440383,104.0
ai7,Git,lexical,0.11386981165798622,0.6793206793206793,-0.5250928897045972,69.0
ai7,ステータス-status,lexical,0.13253705233156948,0.5024975024975025,-0.10426488847120433,41.0
ai7,考慮,lexical,0.3311171850788169,0.000999000999000999,4.851637204835795,85.0
ai7,従属,lexical,0.2270695761781485,0.05194805194805195,1.7696791332698882,20.0
ai7,共有,lexical,0.30852465289939324,0.000999000999000999,4.3332107637378705,127.0
ai7,デバッグ-debug,lexical,0.27589376889195305,0.002997002997002997,3.1531483591303813,35.0
ai7,完璧,lexical,0.41498124601801684,0.000999000999000999,5.824362245626834,19.0
ai7,PUT,lexical,0.03678523620989928,1.0,-2.38230801520957,32.0
ai7,高める,lexical,0.37281734943081823,0.000999000999000999,5.830650108257021,72.0
ai7,モニタリング-monitoring,lexical,0.1582416255494417,0.3436563436563437,0.3064895117268747,23.0
ai7,安全,lexical,0.27948118423934165,0.003996003996003996,3.5247376576408773,91.0
ai7,CSP,lexical,0.14493789802503088,0.46853146853146854,-0.06727028307578987,16.0
ai7,纏め,lexical,1.5943591205785248,0.000999000999000999,34.24103525143021,244.0
ai7,Flow,lexical,0.29901248714097706,0.006993006993006993,3.177837949374469,22.0
ai7,原則,lexical,0.3572458902725582,0.000999000999000999,5.582287130094162,59.0
ai7,ステップ-step,lexical,0.2810480846022955,0.002997002997002997,3.5746668738527405,77.0
ai7,監視,lexical,0.3625667343327566,0.000999000999000999,5.297540940793643,39.0
ai7,応ずる,lexical,0.4711515589636408,0.000999000999000999,8.084128504687946,110.0
ai7,通ずる,lexical,0.30667181587735065,0.001998001998001998,4.043493638657414,51.0
ai7,RBAC,lexical,0.45303355576592214,0.001998001998001998,4.9122793974323296,10.0
ai7,推移,lexical,0.22711369612105822,0.06793206793206794,1.6571262144408483,19.0
ai7,OAuth,lexical,0.15933895220677471,0.33966033966033965,0.41253756481058396,25.0
ai7,アプリケーション-application,lexical,0.3662625986739187,0.000999000999000999,5.558084530511639,150.0
ai7,例,lexical,0.5159108485744178,0.000999000999000999,9.5150153273362,203.0
ai7,本番,lexical,0.36339527144681305,0.000999000999000999,5.5325148126566,86.0
ai7,軽量,lexical,0.20443502290160456,0.07992007992007992,1.478881287319501,31.0
ai7,ミーティング-meeting,lexical,0.23067933540826246,0.028971028971028972,2.0337777157901984,27.0
ai7,レビュアー,lexical,0.30649268220754483,0.006993006993006993,3.4083551947818402,23.0
ai7,選定,lexical,0.24836721041954846,0.013986013986013986,2.5486785736463196,39.0
ai7,スケーラビリティ,lexical,0.26345397072632304,0.01998001998001998,2.3883167019442983,18.0
ai7,受け入れ,lexical,0.26869695795596615,0.03696303696303696,2.031149625359281,11.0
ai7,保証,lexical,0.3669122057410389,0.000999000999000999,5.619064462942008,61.0
ai7,Swagger,lexical,0.30599229204840445,0.008991008991008992,3.124041996223389,17.0
ai7,イメージ-image,lexical,0.1989408178603827,0.08491508491508491,1.4205855610390863,47.0
ai7,低下,lexical,0.14133887235452805,0.4245754245754246,0.10400426474838143,32.0
ai7,基本,lexical,0.23860985093847414,0.014985014985014986,2.437867734314655,173.0
ai7,スタイル-style,lexical,0.2956329183845562,0.001998001998001998,3.7901091475796815,43.0
ai7,成功,lexical,0.36966999293988734,0.000999000999000999,5.859692291961522,104.0
ai7,概念,lexical,0.12251411447442546,0.5994005994005994,-0.338561519744058,70.0
ai7,具体,lexical,0.41933951603002717,0.000999000999000999,6.8573258741484056,124.0
ai7,短い,lexical,0.21278000235982675,0.18981018981018982,0.9367405435944647,11.0
ai7,要素,lexical,0.3064160912030563,0.000999000999000999,4.150949320650992,132.0
ai7,PR,lexical,0.5819891050674167,0.000999000999000999,10.411201143463163,45.0
ai7,Commits,lexical,0.581623155677884,0.000999000999000999,6.8599660779163125,9.0
ai7,取り入れる,lexical,0.3816016934401811,0.000999000999000999,5.530379480582585,39.0
ai7,メトリクス-metrics,lexical,0.361834014046107,0.000999000999000999,5.063267323195526,26.0
ai7,解説,lexical,0.8541484996181138,0.000999000999000999,18.24968394753393,185.0
ai7,スキル-skill,lexical,0.15579934363302414,0.3196803196803197,0.47095403846130957,57.0
ai7,質,lexical,0.18313629035386608,0.16583416583416583,0.9051091397894939,26.0
ai7,管理,lexical,0.19921835842403798,0.06993006993006994,1.5778015871107849,217.0
ai7,必須,lexical,0.5544414417617421,0.000999000999000999,10.365707533973717,64.0
ai7,鍵,lexical,0.43695881135701325,0.000999000999000999,6.758745182035087,33.0
ai7,Conventional,lexical,0.581623155677884,0.000999000999000999,6.8599660779163125,9.0
ai7,順位,lexical,0.2670743991521005,0.016983016983016984,2.748682574624403,24.0
ai7,文化,lexical,0.40195909982913985,0.000999000999000999,6.445963505260098,49.0
ai7,維持,lexical,0.218390395929658,0.03796203796203796,1.9291140078763953,55.0
ai7,GitLab,lexical,0.3369224945191634,0.000999000999000999,4.722505527326872,45.0
ai7,JWT,lexical,0.23505206196946216,0.023976023976023976,2.1294388413658973,28.0
