condition,repeat,fold,features,auc,n_words
main,12,4,lexical,0.9905447070914697,1569
main,12,4,rhythm,0.9410071942446043,0
main,12,4,combined,0.9908530318602261,1569
main,13,0,lexical,0.9921428571428571,1585
main,13,0,rhythm,0.9276530612244898,0
main,13,0,combined,0.993265306122449,1585
main,13,1,lexical,1.0,1552
main,13,1,rhythm,0.8397738951695787,0
main,13,1,combined,0.9997944501541624,1552
main,13,2,lexical,0.997944501541624,1520
main,13,2,rhythm,0.8961973278520041,0
main,13,2,combined,0.9985611510791367,1520
main,13,3,lexical,1.0,1521
main,13,3,rhythm,0.9221993833504626,0
main,13,3,combined,1.0,1521
main,13,4,lexical,1.0,1536
main,13,4,rhythm,0.8890030832476876,0
main,13,4,combined,0.9998972250770812,1536
main,14,0,lexical,0.9966326530612245,1514
main,14,0,rhythm,0.9001020408163265,0
main,14,0,combined,0.9988775510204082,1514
main,14,1,lexical,0.9997944501541625,1532
main,14,1,rhythm,0.8588900308324768,0
main,14,1,combined,0.9998972250770812,1532
main,14,2,lexical,0.9928057553956835,1611
main,14,2,rhythm,0.891983556012333,0
main,14,2,combined,0.9929085303186023,1611
main,14,3,lexical,0.9990750256937307,1557
main,14,3,rhythm,0.9308324768756424,0
main,14,3,combined,0.9995889003083248,1557
main,14,4,lexical,0.9998972250770812,1488
main,14,4,rhythm,0.8993833504624872,0
main,14,4,combined,1.0,1488
main,15,0,lexical,0.9990816326530613,1579
main,15,0,rhythm,0.9191836734693878,0
main,15,0,combined,0.9993877551020408,1579
main,15,1,lexical,0.9927029804727646,1541
main,15,1,rhythm,0.8927029804727646,0
main,15,1,combined,0.9930113052415211,1541
main,15,2,lexical,0.9987667009249742,1519
main,15,2,rhythm,0.8785200411099692,0
main,15,2,combined,0.9996916752312436,1519
main,15,3,lexical,1.0,1563
main,15,3,rhythm,0.9221993833504625,0
main,15,3,combined,1.0,1563
main,15,4,lexical,0.9986639260020554,1512
main,15,4,rhythm,0.8685508735868448,0
main,15,4,combined,0.9997944501541624,1512
main,16,0,lexical,0.9912244897959184,1541
main,16,0,rhythm,0.8837755102040816,0
main,16,0,combined,0.991326530612245,1541
main,16,1,lexical,0.999486125385406,1570
main,16,1,rhythm,0.9079136690647482,0
main,16,1,combined,0.9997944501541625,1570
main,16,2,lexical,0.9989722507708119,1508
main,16,2,rhythm,0.9217882836587873,0
main,16,2,combined,1.0,1508
main,16,3,lexical,0.9998972250770812,1515
main,16,3,rhythm,0.8875642343268243,0
main,16,3,combined,1.0,1515
main,16,4,lexical,0.9992805755395684,1565
main,16,4,rhythm,0.8906474820143885,0
main,16,4,combined,0.9994861253854059,1565
main,17,0,lexical,0.9992857142857143,1504
main,17,0,rhythm,0.9102040816326531,0
main,17,0,combined,0.9996938775510203,1504
main,17,1,lexical,0.9993833504624872,1593
main,17,1,rhythm,0.8933196300102775,0
main,17,1,combined,1.0,1593
main,17,2,lexical,0.9997944501541625,1534
main,17,2,rhythm,0.8913669064748201,0
main,17,2,combined,1.0,1534
main,17,3,lexical,0.9912641315519013,1564
main,17,3,rhythm,0.8695786228160329,0
main,17,3,combined,0.9914696813977389,1564
main,17,4,lexical,0.999486125385406,1523
main,17,4,rhythm,0.930010277492292,0
main,17,4,combined,1.0,1523
main,18,0,lexical,1.0,1545
main,18,0,rhythm,0.8859183673469387,0
main,18,0,combined,1.0,1545
main,18,1,lexical,0.9989722507708119,1533
main,18,1,rhythm,0.9060637204522097,0
main,18,1,combined,0.9995889003083248,1533
main,18,2,lexical,0.9916752312435766,1550
main,18,2,rhythm,0.9303186022610483,0
main,18,2,combined,0.9932168550873587,1550
main,18,3,lexical,1.0,1538
main,18,3,rhythm,0.8859198355601233,0
main,18,3,combined,0.9997944501541624,1538
main,18,4,lexical,0.9984583761562178,1525
main,18,4,rhythm,0.8804727646454265,0
main,18,4,combined,0.9991778006166496,1525
main,19,0,lexical,1.0,1524
main,19,0,rhythm,0.9123469387755102,0
main,19,0,combined,1.0,1524
main,19,1,lexical,0.9915724563206577,1527
main,19,1,rhythm,0.8975334018499487,0
main,19,1,combined,0.991983556012333,1527
main,19,2,lexical,0.9997944501541625,1554
main,19,2,rhythm,0.8694758478931142,0
main,19,2,combined,0.9991778006166495,1554
main,19,3,lexical,0.9976361767728674,1470
main,19,3,rhythm,0.9167523124357657,0
main,19,3,combined,0.9997944501541624,1470
main,19,4,lexical,0.9996916752312436,1619
main,19,4,rhythm,0.8837615621788284,0
main,19,4,combined,1.0,1619
lenadj,0,0,length_only,0.7966326530612244,0
lenadj,0,0,lexical,0.9653061224489796,1510
lenadj,0,0,rhythm,0.8162244897959183,0
lenadj,0,0,combined,0.9795918367346939,1510
lenadj,0,1,length_only,0.8020554984583761,0
lenadj,0,1,lexical,0.9768756423432683,1588
lenadj,0,1,rhythm,0.8115107913669065,0
lenadj,0,1,combined,0.9889003083247687,1588
lenadj,0,2,length_only,0.8103802672147996,0
lenadj,0,2,lexical,0.9673175745118192,1517
lenadj,0,2,rhythm,0.7734840698869476,0
lenadj,0,2,combined,0.9699897225077081,1517
lenadj,0,3,length_only,0.8181911613566291,0
lenadj,0,3,lexical,0.9943473792394656,1535
lenadj,0,3,rhythm,0.8028776978417267,0
lenadj,0,3,combined,0.9966084275436793,1535
lenadj,0,4,length_only,0.833710174717369,0
lenadj,0,4,lexical,0.9647482014388489,1515
lenadj,0,4,rhythm,0.8442959917780063,0
lenadj,0,4,combined,0.9705035971223022,1515
lenadj,1,0,length_only,0.8078571428571428,0
lenadj,1,0,lexical,0.9688775510204082,1539
lenadj,1,0,rhythm,0.8327551020408164,0
lenadj,1,0,combined,0.9757142857142858,1539
lenadj,1,1,length_only,0.7631038026721481,0
lenadj,1,1,lexical,0.9575539568345324,1528
lenadj,1,1,rhythm,0.8286742034943474,0
lenadj,1,1,combined,0.964131551901336,1528
lenadj,1,2,length_only,0.8132579650565263,0
lenadj,1,2,lexical,0.9898252826310381,1540
lenadj,1,2,rhythm,0.7985611510791367,0
lenadj,1,2,combined,0.989825282631038,1540
lenadj,1,3,length_only,0.8547790339157246,0
lenadj,1,3,lexical,0.9854059609455292,1542
lenadj,1,3,rhythm,0.7831449126413156,0
lenadj,1,3,combined,0.9860226104830421,1542
lenadj,1,4,length_only,0.8171634121274409,0
lenadj,1,4,lexical,0.951284686536485,1538
lenadj,1,4,rhythm,0.7970195272353545,0
lenadj,1,4,combined,0.9731757451181912,1538
lenadj,2,0,length_only,0.8488775510204083,0
lenadj,2,0,lexical,0.9674489795918366,1538
lenadj,2,0,rhythm,0.8080612244897959,0
lenadj,2,0,combined,0.9785714285714286,1538
lenadj,2,1,length_only,0.8115107913669066,0
lenadj,2,1,lexical,0.9820143884892086,1611
lenadj,2,1,rhythm,0.8109969167523124,0
lenadj,2,1,combined,0.9805755395683453,1611
lenadj,2,2,length_only,0.8158273381294964,0
lenadj,2,2,lexical,0.9773895169578622,1509
lenadj,2,2,rhythm,0.7922918807810894,0
lenadj,2,2,combined,0.9805755395683454,1509
lenadj,2,3,length_only,0.7804727646454265,0
lenadj,2,3,lexical,0.9709146968139774,1539
lenadj,2,3,rhythm,0.8525179856115107,0
lenadj,2,3,combined,0.9850976361767729,1539
lenadj,2,4,length_only,0.7927029804727647,0
lenadj,2,4,lexical,0.9825282631038027,1517
lenadj,2,4,rhythm,0.7991778006166496,0
lenadj,2,4,combined,0.9799588900308325,1517
lenadj,3,0,length_only,0.8461224489795918,0
lenadj,3,0,lexical,0.9841836734693877,1565
lenadj,3,0,rhythm,0.7916326530612245,0
lenadj,3,0,combined,0.9844897959183674,1565
lenadj,3,1,length_only,0.8071942446043165,0
lenadj,3,1,lexical,0.9837615621788285,1544
lenadj,3,1,rhythm,0.8266187050359713,0
lenadj,3,1,combined,0.9841726618705036,1544
lenadj,3,2,length_only,0.7841726618705037,0
