dataset,fold,features,accuracy,macro_f1,n_features
ai6_nollama,11,rhythm,0.43333333333333335,0.4186311188599518,13
ai6_nollama,12,lexical,0.9,0.8944026733500419,1337
ai6_nollama,12,rhythm,0.5166666666666667,0.5228310675679096,13
ai6_nollama,13,lexical,0.9333333333333333,0.9329548619022302,1317
ai6_nollama,13,rhythm,0.55,0.525450649020443,13
ai6_nollama,14,lexical,0.9,0.898941798941799,1337
ai6_nollama,14,rhythm,0.5,0.48367637503344413,13
ai6_nollama,15,lexical,0.8666666666666667,0.8645983645983645,1324
ai6_nollama,15,rhythm,0.5,0.4875546078635324,13
ai6_nollama,16,lexical,0.95,0.949621528568897,1352
ai6_nollama,16,rhythm,0.4666666666666667,0.4412037037037037,13
ai6_nollama,17,lexical,0.9166666666666666,0.9164578111946534,1337
ai6_nollama,17,rhythm,0.45,0.44406408808582726,13
ai6_nollama,18,lexical,0.9,0.8992848282321967,1323
ai6_nollama,18,rhythm,0.5333333333333333,0.5347744360902256,13
ai6_nollama,19,lexical,0.9333333333333333,0.9321406670982658,1323
ai6_nollama,19,rhythm,0.4666666666666667,0.46808080808080804,13
ai6_nollama,20,lexical,0.9333333333333333,0.9326599326599326,1323
ai6_nollama,20,rhythm,0.5333333333333333,0.5188944033337626,13
ai6_nollama,21,lexical,0.9166666666666666,0.9159514948988634,1349
ai6_nollama,21,rhythm,0.38333333333333336,0.37929163760365797,13
ai6_nollama,22,lexical,0.8333333333333334,0.8297289472615895,1322
ai6_nollama,22,rhythm,0.4,0.40397491312823125,13
ai6_nollama,23,lexical,0.95,0.949621528568897,1328
ai6_nollama,23,rhythm,0.5666666666666667,0.5624401913875597,13
ai6_nollama,24,lexical,0.9,0.8980400703378223,1347
ai6_nollama,24,rhythm,0.5833333333333334,0.5687172476646161,13
