word,old_excess_score,old_sig_bonferroni,old_direction,ai_doc_count,human_doc_count,p_ai,q_human,ratio_r,delta,r_ci_low,r_ci_high,delta_ci_low,delta_ci_high,chi2_doc,p_value,q_fdr,p_bonferroni,sig_fdr,sig_bonferroni,new_direction,survives_fdr,survives_bonferroni,survives_ci
批判,11.4119,True,excess,19,6,0.05698,0.009986,5.7061,0.046994,2.6629,15.3115,0.024198,0.075484,19.0588,1.2675322141617533e-05,6.0297295159559116e-05,0.021345242486483926,True,True,excess,True,True,True
落とし穴,11.4119,True,excess,12,7,0.037037,0.011412,3.2454,0.025625,1.4979,8.6576,0.007116,0.047002,6.4389,0.011164892274630054,0.02593334977996829,1.0,True,False,excess,True,False,True
reviewer,11.2937,True,excess,2,3,0.008547,0.005706,1.4979,0.002841,0.3329,5.9915,-0.00571,0.012818,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
デー-day,11.1586,True,excess,2,10,0.008547,0.015692,0.5447,-0.007145,0.1427,1.4979,-0.018553,0.004259,0.8535,0.35556286493785916,0.4875959809082694,1.0,False,False,deficit,False,False,False
堅牢,11.1164,True,excess,32,14,0.094017,0.021398,4.3937,0.072619,2.451,8.4338,0.041272,0.10254,26.7394,2.328285387211258e-07,1.5197025550634723e-06,0.00039208325920637587,True,True,excess,True,True,True
review,11.0027,True,excess,3,3,0.011396,0.005706,1.9972,0.00569,0.4993,7.9886,-0.004284,0.01709,0.1886,0.6641031261499244,0.7954122791155567,1.0,False,False,excess,False,False,False
Monitoring,10.8209,True,excess,6,3,0.019943,0.005706,3.495,0.014237,1.1412,13.9801,0.00141,0.029908,3.152,0.0758331590521666,0.13761103431449198,1.0,False,False,excess,False,False,True
Based,10.8209,False,excess,4,2,0.014245,0.00428,3.3286,0.009965,0.7989,13.9801,-0.001431,0.022788,1.6972,0.19265478949243287,0.29601338093545343,1.0,False,False,excess,False,False,False
feedback,10.8209,False,excess,1,2,0.005698,0.00428,1.3314,0.001418,0.3994,5.9915,-0.00571,0.009965,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
倫理,10.8209,False,excess,1,2,0.005698,0.00428,1.3314,0.001418,0.3994,5.9915,-0.004284,0.008543,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
